allocator,space,mean_turnover,n_windows
herc,correlation,0.600646549461207,13
herc,factor,0.587509269249563,13
hrp,correlation,0.25419956387642156,13
hrp,factor,0.24564895900035583,13
nco,correlation,0.564323312095432,13
nco,factor,0.6049193485283909,13
