portfolio,n_months,ann_return,ann_vol,max_drawdown,style_concentration
equal_weight,156,0.13357547587226692,0.15588399781691603,-0.26783084415192127,0.5947951787922425
min_var,156,0.1058085873222383,0.1270410096588877,-0.19000958562426185,0.7761292245478995
factor_neutral_e0,156,0.11771679807587132,0.13074015350674348,-0.1915304718052553,0.5254748156996172
factor_neutral_e0.05,156,0.11452902029735368,0.12864281873329808,-0.18615947904778085,0.5905699377778867
factor_neutral_e0.1,156,0.11138760355378596,0.12714617144849616,-0.1838570002376897,0.6688257995567335
factor_neutral_e0.15,156,0.10943088193065909,0.1268590390018862,-0.18444451159828212,0.7261005707680881
