portfolio,ann_vol,sharpe_gross,sharpe_net,max_drawdown,turnover,n_months
equal_weight,0.15588399781691603,0.7814818079839435,0.7808391515125827,-0.26783084415192127,0.12126153432198053,156
min_var,0.1270410096588877,0.7276607761394817,0.7237724751476011,-0.19000958562426185,0.5214999099239862,156
factor_neutral_e0,0.13074015350674348,0.7941136559713378,0.7900377322477147,-0.1915304718052553,0.5563022446972128,156
factor_neutral_e0.05,0.12864281873329808,0.7823954757430025,0.7783643745181416,-0.18615947904778085,0.544059570742844,156
factor_neutral_e0.1,0.12714617144849616,0.76763975905253,0.7636235254658725,-0.1838570002376897,0.5370190456135804,156
factor_neutral_e0.15,0.1268590390018862,0.7549770234560914,0.7509742655334065,-0.18444451159828212,0.5339594031327265,156
hrp_corr_single,0.13595854329632198,0.8338453642428719,0.83216812213632,-0.2235913351874994,0.24717957480815902,156
hrp_corr_ward,0.13527335861830336,0.8242977980796232,0.8225649394103195,-0.22935780414895934,0.25419956387642234,156
herc_corr,0.14312302258628615,0.7373801207556918,0.7333944879176377,-0.24851169331975276,0.6006465494612098,156
nco_corr,0.12343214640444237,0.8029691723775715,0.7985638774975707,-0.19131903389460603,0.5643233120954337,156
