portfolio,characteristic,mean_corr,std_corr,n_windows
herc_corr,beta_cma,0.14377983133367242,0.12109897791154707,13
herc_corr,beta_rmw,0.0790704033412591,0.11233834149840255,13
herc_corr,residual_vol,-0.18522736968176529,0.09911010839968676,13
hrp_corr_single,beta_cma,0.3052361830854902,0.09385525926591906,13
hrp_corr_single,beta_rmw,0.14551578827354364,0.0935921572577853,13
hrp_corr_single,residual_vol,-0.33414971456492587,0.06751251787269541,13
hrp_corr_ward,beta_cma,0.3255514509109253,0.10335204701480674,13
hrp_corr_ward,beta_rmw,0.15806246431187593,0.08309217926548715,13
hrp_corr_ward,residual_vol,-0.4448021158677189,0.06081842625882297,13
min_var,beta_cma,0.09363295784927449,0.045662798733560904,13
min_var,beta_rmw,0.018155759440344112,0.025814260928891195,13
min_var,residual_vol,-0.04264175387707479,0.07195330636560729,13
nco_corr,beta_cma,0.16623328124400846,0.0660884902155828,13
nco_corr,beta_rmw,0.0650568646504721,0.02326369677467349,13
nco_corr,residual_vol,-0.14228221000290636,0.06770649100361566,13
