k,mean_silhouette,min_cluster_size_any_window,n_windows
2,0.34923560244001084,6,13
3,0.1852952786026443,2,13
4,0.16609162751562917,2,13
5,0.1476686035084405,2,13
6,0.13002107601198618,1,13
7,0.12703506950690166,1,13
8,0.11808828897847613,1,13
9,0.11668168412764479,1,13
10,0.11847478793552563,1,13
11,0.11682033710947838,1,13
12,0.11918682342305244,1,13
