space,overlay,mean_style_concentration,mean_ann_vol,n_allocators
correlation,base,0.6468187710525731,0.1339428425363438,3
correlation,overlay,0.43509671152591944,0.13745758866353774,3
factor,base,0.6597307797362993,0.13757601439307934,3
factor,overlay,0.5092192470014459,0.1403093350054824,3
