train_window,ticker,alpha,beta_mkt,beta_smb,beta_hml,beta_rmw,beta_cma,residual_vol,r_squared,n_obs
2009-12,A,0.016951479248523228,1.3791247144265641,0.5386368653341529,-1.0215628571171105,-1.5202245029263624,1.7759134397735492,0.07653759226205556,0.5259671489405423,60
2009-12,AA,-0.008994526805059647,2.0855544821529475,0.9043685052698258,-0.18886258638449777,1.1165562690886157,-0.637830157370102,0.07370253949682143,0.6781763612240326,60
2009-12,AAON,0.010486520757003515,0.8503900803411149,0.5557474322789051,-0.2601099625731818,0.4584018041445178,0.6431524633691275,0.08936088228595937,0.19195761686319923,60
2009-12,AAPL,0.0376041684043168,1.7504129936171546,-0.40447506910859815,-0.9053546780783248,0.09839699188331658,-1.8465796305041313,0.09021372246617003,0.4830929721901679,60
2009-12,ABT,0.006289320268746914,0.19417817296229758,-0.48832674389924713,0.14643796328944952,-0.3678141807563219,0.20428829723675018,0.05208258858544887,0.07733741779824543,60
2009-12,ACGL,0.0067495924355420725,0.5513118323304073,0.05896718954803881,0.43806706909035503,0.46087892633252403,0.289702355255018,0.04091192910698059,0.39502462380761394,60
2009-12,ACHC,0.0031581085528439314,0.7541255912554398,0.4251240857797506,1.484470419660223,-0.21392215141751358,-2.2822183128397544,0.12284432240796173,0.28731847547531153,60
2009-12,ACN,0.005318251113174673,0.8084763938107367,0.5738100969401735,-0.5920956255570182,0.42888548339422855,0.42374816692868206,0.04755638993498709,0.4186766393858823,60
2009-12,ADBE,0.006604991470697916,1.7947844600313656,0.40270593589964776,-0.38763424783255784,0.07957870196733441,0.09177376372826374,0.07755039951743126,0.5671124741360296,60
2009-12,ADC,0.015284282716357303,0.6129777018011399,0.2563675447944419,1.7580435505025285,-2.0412544561449315,-2.5952056738376754,0.08086685758250896,0.57058094410268,60
2009-12,ADI,0.00299345076530458,0.939121593900879,0.530970406418699,-0.2468099291235914,-0.6164873361225321,-0.7353359054671214,0.05889782559560366,0.5032188310047147,60
2009-12,ADM,0.007291089905551909,0.6548648847271827,-0.31738651437963405,-0.7214250452522956,0.6372561441403906,0.5892908784001127,0.10383888017248931,0.06401718495419095,60
2009-12,ADP,0.0005884019096699003,0.9387720292734612,-0.5495718800426469,-0.43979280499343454,0.5798465402827002,1.3468413519048243,0.04655298924333257,0.36848979286239214,60
2009-12,ADSK,0.00403730203081066,1.8774834653881824,-0.3584587449554642,0.45899797170402423,-0.6413412285325074,-0.9919860324503816,0.09255249454086961,0.5487333708342728,60
2009-12,AEE,-0.00565050434051329,0.9801788380898364,-0.40578224632127835,-0.43396832090934323,0.2516356451166668,0.8469450959030103,0.050773023851585136,0.3663552042486421,60
2009-12,AEP,0.0022531998181575374,0.6705283755241092,-0.06577853872071882,-0.17992724699433266,0.17396485009351995,0.550333277943921,0.0459632271537653,0.27971085930021544,60
2009-12,AES,-0.000674964933269153,1.6422299044614261,-0.11862811103536475,-0.23872799112345314,0.8520656866339573,-0.3411182445760958,0.0883774942887686,0.4021003545039533,60
2009-12,AFG,0.006056819692321372,0.9613606682669571,-0.002586169509731173,0.7441685217328542,-0.16042825110531128,0.10495976533399232,0.05269128351892692,0.5759446186158719,60
2009-12,AFL,-0.0027308677401376934,1.97376169727545,-0.6695447568826397,1.4453311739513373,2.51483196596006,0.3766673756059225,0.07431084931448825,0.6544584301901466,60
